id,ชุด,type,correct,เหตุผล,ธง,บรรทัดคำตอบในเฉลย (200 ตัว)
alvl1-2566-03-q23,alvl1-2566-03,mc,0,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: $f'(x)=h(x)$
alvl1-2567-03-q04,alvl1-2567-03,mc,2,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: $\dfrac{\pi}{3} 
chap-01-set-q34,chap-01-set,mc,3,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ:
chap-01-set-q39,chap-01-set,mc,0,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: $x = 20$ ซึ่งอยู่ในช่วง $18 \leq x 
chap-01-set-q60,chap-01-set,fill,{8},ไม่พบค่า {8} ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $(A \cup C)' \cap B = \{8\}$
chap-01-set-q61,chap-01-set,fill,"$\{\varnothing,\ \{\varnothing\},\ \{\{\varnothing\}\},\ \{\varnothing,\ \{\varnothing\}\}\}$","ไม่พบค่า $\{\varnothing,\ \{\varnothing\},\ \{\{\varnothing\}\},\ \{\varnothing,\ \{\varnothing\}\}\}$ ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $(C \cup D) \cap (D - A) = \{\varnothing,\ \{\varnothing\},\ \{\{\varnothing\}\},\ \{\varnothing, \{\varnothing\}\}\}$"
chap-02-logic-q01,chap-02-logic,mc,3,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ:
chap-02-logic-q02,chap-02-logic,mc,2,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ:
chap-02-logic-q102,chap-02-logic,fill,"~f, b","ไม่พบค่า ~f, b ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $\sim f$, $b$ (เหตุที่ 4 = $\sim f$, เหตุที่ 5 = $b$)"
chap-02-logic-q119,chap-02-logic,fill,essay,ไม่พบค่า essay ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ:
chap-02-logic-q51,chap-02-logic,mc,3,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,"✅ คำตอบ: $\forall x \exists y[\, (xy "
chap-02-logic-q63,chap-02-logic,mc,2,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,"✅ คำตอบ: $\exists x[\, |x + 2| "
chap-02-logic-q86,chap-02-logic,mc,0,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: ถ้า $ab = 0$
chap-03-realnumber-q01,chap-03-realnumber,mc,2,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: $\dfrac{1}{|x|} 
chap-03-realnumber-q02,chap-03-realnumber,mc,0,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: $\dfrac{y}{x} 
chap-03-realnumber-q125,chap-03-realnumber,fill,x^3 - (3/2)x^2 - x + 3/2,ไม่พบค่า x^3 - (3/2)x^2 - x + 3/2 ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $f(x) = x^3 - \dfrac{3}{2}x^2 - x + \dfrac{3}{2}$
chap-03-realnumber-q129,chap-03-realnumber,fill,"(1, 2) ∪ (3, 4)","ไม่พบค่า (1, 2) ∪ (3, 4) ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $x \in (1, 2) \cup (3, 4)$"
chap-03-realnumber-q130,chap-03-realnumber,fill,"{17, -2}","ไม่พบค่า {17, -2} ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: เซตคำตอบ $= \{17, -2\}$"
chap-03-realnumber-q131,chap-03-realnumber,fill,"{(1,-1),(2,-2)}","ไม่พบค่า {(1,-1),(2,-2)} ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $A = \{(1,-1),\ (2,-2)\}$"
chap-03-realnumber-q143,chap-03-realnumber,fill,"(2, 4.5)","ไม่พบค่า (2, 4.5) ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $A=(2,\ 4.5)$"
chap-03-realnumber-q146,chap-03-realnumber,fill,"(-6, -4) ∪ (-4, 1)","ไม่พบค่า (-6, -4) ∪ (-4, 1) ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $A\cap B = (-6,-4)\cup(-4,1)$"
chap-03-realnumber-q148,chap-03-realnumber,fill,"(-∞, -1) ∪ [0, 1]","ไม่พบค่า (-∞, -1) ∪ [0, 1] ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $(-\infty,-1)\cup[0,1]$"
chap-03-realnumber-q149,chap-03-realnumber,fill,"(-∞, 0] ∪ (1, 2] ∪ [3, ∞)","ไม่พบค่า (-∞, 0] ∪ (1, 2] ∪ [3, ∞) ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $A=(-\infty,0]\cup(1,2]\cup[3,\infty)$"
chap-03-realnumber-q155,chap-03-realnumber,fill,"$\{-\sqrt{3},\ 1-\sqrt{2}\}$","ไม่พบค่า $\{-\sqrt{3},\ 1-\sqrt{2}\}$ ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $A = \{-\sqrt{3},\ 1-\sqrt{2}\}$"
chap-03-realnumber-q182,chap-03-realnumber,fill,"2, ไม่เป็น","ไม่พบค่า 2, ไม่เป็น ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,✅ คำตอบ: เหลือเศษ $2$ และไม่เป็นจำนวนเฉพาะ
chap-03-realnumber-q184,chap-03-realnumber,fill,"{0, 2, 7, 8}","ไม่พบค่า {0, 2, 7, 8} ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $\{0, 2, 7, 8\}$"
