id,setId,type,correct,คำตอบที่คาด,ระดับ,ชิ้นเฉลย,ท่อนสรุป(ตัดมา 220 ตัวท้าย)
alvl1-2566-03-q02,alvl1-2566-03,mc,3,ข้อความ (ข) และ (ค) ถูกต้องเท่านั้น,🔴 ไม่เจอเลย,19,"ำลังสองทลายค่าสัมบูรณ์ทั้งคู่ได้เพราะ|\cdot|\ge0เสมอทำให้ไม่ต้องแบ่งกรณีเครื่องหมาย⚠️จุดที่เด็กมักผิดลืมว่าAจำกัดเฉพาะจำนวนเต็มแล้วตอบสมาชิกมากสุดเป็น\frac74;และสับสนว่าคถามค่าความจริงของ""ประพจน์นั้นเป็นเท็จ""ซึ่งเป็นจริง"
alvl1-2566-03-q04,alvl1-2566-03,mc,4,ข้อความ (ข) และ (ค) ถูกต้องเท่านั้น,🔴 ไม่เจอเลย,18,"อตัวดำเนินการนิยามด้วยตารางให้หาประพจน์มาตรฐานที่""สมมูล""ก่อนที่นี่คือ\simqแล้วงานที่เหลือกลายเป็นพีชคณิตตรรกศาสตร์ธรรมดา⚠️จุดที่เด็กมักผิดเผลอคิดว่ากเป็นสัจนิรันดร์เพราะหน้าตาเหมือนmodusponens—แต่*ไม่ใช่\toต้องแทนค่าจริง"
alvl1-2566-03-q08,alvl1-2566-03,mc,0,ข้อความ (ก) ถูกต้องเพียงข้อเดียวเท่านั้น,🔴 ไม่เจอเลย,16,"คที่ใช้เทียบจำนวนสมาชิกโดเมนกับเรนจ์:ถ้า|A|>|B|ฟังก์ชันจากAไปBย่อมไม่1-1จึงไม่มีอินเวอร์สแน่นอน⚠️จุดที่เด็กมักผิดมองข้ามเงื่อนไข2\notinBที่บีบให้Bเล็กกว่าA;และเข้าใจว่าค่าสองค่าที่กำหนดมาf-1f1ทำให้""เพิ่ม""ทั้งที่จริงมันลด"
alvl1-2566-03-q14,alvl1-2566-03,mc,4,ข้อความ (ก) (ข) และ (ค) ถูกต้อง,🔴 ไม่เจอเลย,25,✔ตรวจคำตอบลองจุดในเซตw=0.5|w|=0.5✅คำตอบ:กขคถูกต้องทั้งหมด→ตัวเลือก5💡เทคนิคที่ใช้ลดอสมการให้เหลือ|z|⚠️จุดที่เด็กมักผิดกระจายy-1^2+y+1^2ผิดพจน์\pm2yต้องตัดกัน;หรือคิดว่าw^2อาจหลุดออกจากวงกลมทั้งที่|w|<1ทำให้|w|^2ยิ่งเล็กลง
alvl1-2566-03-q20,alvl1-2566-03,mc,0,ข้อความ (ก) ถูกต้องเพียงข้อเดียวเท่านั้น,🔴 ไม่เจอเลย,17,อเดียว→ตัวเลือก1💡เทคนิคที่ใช้สร้างคอลัมน์ความถี่สะสมก่อนแล้วใช้ตำแหน่ง\frack4N+1ระบุชั้นของควอไทล์;ค่านอกเกณฑ์ใช้สูตร1.5×IQR⚠️จุดที่เด็กมักผิดเผลออ่านควอไทล์ที่2เป็น75กลางช่วงคะแนนแทนที่จะใช้ตำแหน่งจากความถี่สะสม→ได้67.5
alvl1-2566-03-q21,alvl1-2566-03,mc,1,ข้อความ (ข) ถูกต้องเพียงข้อเดียวเท่านั้น,🔴 ไม่เจอเลย,24,ลือก2💡เทคนิคที่ใช้ค่าเฉลี่ยรวมต้องถ่วงน้ำหนักด้วยจำนวนคนแต่ละกลุ่มไม่ใช่เฉลี่ยของค่าเฉลี่ย;IQRอ่านจากความสูงกล่องได้ทันที⚠️จุดที่เด็กมักผิดหาค่าเฉลี่ยรวมเป็น\frac70+552=62.5เฉลี่ยลอยๆไม่ถ่วงน้ำหนัก→ได้กผิดเพราะวิธีคิดผิด
alvl1-2566-03-q23,alvl1-2566-03,mc,0,"$f'(x) = h(x)$ และ $\displaystyle\int_0^2 h(x)\,dx = -4\int_2^4 g(x)\,",🔴 ไม่เจอเลย,24,ก1💡เทคนิคที่ใช้หาสมการเส้นตรงจากระยะตัดแกนเร็วกว่าหาความชัน;อินทิกรัลเส้นตรงคิดจากพื้นที่สามเหลี่ยมจำเครื่องหมายลบเมื่ออยู่ใต้แกน⚠️จุดที่เด็กมักผิดลืมว่า\int_2^4gdxเป็นลบกราฟอยู่ใต้แกนแล้วจับคู่สัมประสิทธิ์ผิดเครื่องหมาย
alvl1-2566-03-q24,alvl1-2566-03,mc,4,ข้อความ (ข) และ (ค) ถูกต้องเท่านั้น,🔴 ไม่เจอเลย,22,ุดซึ่งกราฟมีรอยขาด/กระโดดต้องแยกพิจารณาลิมิตซ้าย-ขวาของผลรวมก่อนสรุป—แม้แต่ละฟังก์ชันลิมิตไม่เท่ากันผลรวมอาจหาค่าได้⚠️จุดที่เด็กมักผิดสรุปว่า\limf+gที่x\to-1หาค่าไม่ได้เพราะแต่ละตัวกระโดด—แต่จริงๆผลรวมซ้าย/ขวาเท่ากันที่0
alvl1-2567-03-q04,alvl1-2567-03,mc,2,$z = \sqrt{3}(\cos\theta + i\sin\theta)$ เมื่อ $\dfrac{\pi}{3} < \thet,🔴 ไม่เจอเลย,25,\sqrt3i-i|=\sqrt3-1\approx0.73✅คำตอบ:\frac\pi3💡เทคนิคที่ใช้เปลี่ยน|z-i|⚠️จุดที่เด็กมักผิด1ลืมยกกำลังสองทั้งสองข้างก่อนทำให้ติดราก2แก้\sin\theta>\frac\sqrt32ผิดช่วง—ต้องเป็นช่วง“ระหว่าง”\frac\pi3ถึง\frac2\pi3ไม่ใช่ช่วงนอก
alvl1-2567-03-q17,alvl1-2567-03,mc,1,มีเพียงข้อความ ก. และ ข. กล่าวถูกต้อง,🔴 ไม่เจอเลย,16,อร์เซ็นไทล์มัธยฐานกับตัวที่“ดูค่า”ค่าเฉลี่ย—ตัวดูตำแหน่งเปรียบเทียบกันได้จากลำดับส่วนตัวดูค่าจะไวต่อoutlier⚠️จุดที่เด็กมักผิดเข้าใจผิดว่ามัธยฐานมากกว่าค่าเฉลี่ยเสมอข้อคจริงๆขึ้นกับการกระจายของข้อมูลสรุปทิศทางตายตัวไม่ได้
alvl1-2567-03-q19,alvl1-2567-03,mc,4,ข้อความ ก. และ ค. ถูกต้อง,🔴 ไม่เจอเลย,18,ให้เป็นการแทนค่า:g1=f0h0=f0+2แล้วอ่านค่าfจากจุดที่กราฟให้มาไม่ต้องเดารูปกราฟทั้งหมด⚠️จุดที่เด็กมักผิดสับสนทิศการเลื่อน:fx-1เลื่อน“ขวา”ไม่ใช่ซ้ายและข.ผิดเพราะเข้าใจว่าgตัดแกนXตรงจุดที่fตัดทั้งที่ต้องแทนค่าตรวจg1=f0=5\neq0
alvl1-2567-03-q20,alvl1-2567-03,mc,1,"ไฮเพอร์โบลา มีจุดยอด $(-1, 2)$ และ $(-1, 8)$",🔴 ไม่เจอเลย,26,ลับพจน์คูณ-1เพื่อให้ขวาเป็น+1พจน์ที่เป็นบวกจะบอกแกนหลักที่นี่yบวก→แนวตั้ง⚠️จุดที่เด็กมักผิด1ลืมว่าดึงตัวร่วม9และ-16ออกมาแล้วค่าที่บวกชดเชยต้องคูณตัวร่วมด้วย+9\cdot1และ-16\cdot252สับสนว่าจุดยอดอยู่แกนไหน—ดูพจน์บวกเป็นหลัก
alvl1-2568-03-v2-q04,alvl1-2568-03-v2,mc,3,เป็นรูปพาราโบลาคว่ำที่มีจุดยอดที่ $x = 80$,🔴 ไม่เจอเลย,29,ว่ำจุดยอดที่x=80→ตัวเลือก4💡เทคนิคที่ใช้โจทย์เศรษฐศาสตร์ราคา×จำนวนมักออกมาเป็นพาราโบลาคว่ำ—จุดยอดคือจุดที่ได้รายได้สูงสุด⚠️จุดที่เด็กมักผิดลืมขั้นตอนการจัดรูปสมการเป็นax^2+bx+cก่อนหรือเอาเครื่องหมายลบไปด้วยตอนใช้สูตร-b/2a
alvl1-2568-03-v2-q09,alvl1-2568-03-v2,mc,1,ข้อความ ค. ถูกต้องเพียงข้อเดียวเท่านั้น,🔴 ไม่เจอเลย,34,"ค.ทำนาย0→ถูก✓สอดคล้องกับคำตอบทุกข้อ✅คำตอบ:ค.ถูกเพียงข้อเดียว→ตัวเลือก2💡เทคนิคที่ใช้จำกฎ3ข้อของrowoperationที่กระทบ\det—สลับลบคูณkkเท่าบวกเท่าเดิม⚠️จุดที่เด็กมักผิดก.ลืมเครื่องหมายลบจากการสลับแถว—เห็นแค่""คูณ2""แต่ลืม""สลับ"""
