id,ชุด,type,correct,ธง,หมายเหตุ,บรรทัดคำตอบ
alvl1-2566-03-q23,alvl1-2566-03,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ: $f'(x)=h(x)$
alvl1-2567-03-q04,alvl1-2567-03,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ: $\dfrac{\pi}{3} 
chap-01-set-q39,chap-01-set,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ: $x = 20$ ซึ่งอยู่ในช่วง $18 \leq x 
chap-02-logic-q01,chap-02-logic,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ:
chap-02-logic-q02,chap-02-logic,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ:
chap-02-logic-q119,chap-02-logic,fill,essay,⚪ เทียบไม่ได้,,✅ คำตอบ:
chap-02-logic-q51,chap-02-logic,mc,3,⚪ เทียบไม่ได้,,"✅ คำตอบ: $\forall x \exists y[\, (xy "
chap-02-logic-q63,chap-02-logic,mc,2,⚪ เทียบไม่ได้,,"✅ คำตอบ: $\exists x[\, |x + 2| "
chap-03-realnumber-q01,chap-03-realnumber,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ: $\dfrac{1}{|x|} 
chap-03-realnumber-q02,chap-03-realnumber,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ: $\dfrac{y}{x} 
chap-03-realnumber-q182,chap-03-realnumber,fill,"2, ไม่เป็น",⚪ เทียบไม่ได้,,✅ คำตอบ: เหลือเศษ $2$ และไม่เป็นจำนวนเฉพาะ
chap-03-realnumber-q26,chap-03-realnumber,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ: $x = 3$
chap-04-coord-q169,chap-04-coord,fill,"จุดยอด (11/2, -7/2); สมการ x^2+y^2-2xy-46x-10y+137=0",⚪ เทียบไม่ได้,,"✅ คำตอบ: จุดยอด $\left(\dfrac{11}{2}, -\dfrac{7}{2}\right)$ และสมการ $x^2 + y^2 - 2xy - 46x - 10y + 137 = 0$"
chap-04-coord-q195,chap-04-coord,fill,"(√15/4, 15/8) และ (-√15/4, 15/8)",⚪ เทียบไม่ได้,,"✅ คำตอบ: จุดสัมผัสคือ $\left(\dfrac{\sqrt{15}}{4}, \dfrac{15}{8}\right)$"
chap-04-coord-q226,chap-04-coord,fill,"ศูนย์กลาง (1,2); โฟกัส (1, 2±√5); E: (x-1)^2/1+(y-2)^2/6=1 แกนเอกยาว 2√6; วงกลม (x-1)^2+(y-2)^2=1",⚪ เทียบไม่ได้,,"✅ คำตอบ: ศูนย์กลาง H คือ $(1, 2)$, โฟกัส $(1, 2 \pm \sqrt{5})$ | E: $(x - 1)^2 + \dfrac{(y - 2)^2}{6} = 1$, แกนเอกยาว $2\sqrt{6}$ | วงกลม: $(x - 1)^2 "
chap-04-coord-q229,chap-04-coord,fill,"H: (y-2)^2/1-(x+1)^2/5=1; k ∈ (-∞, -1/√6] ∪ [1/√6, ∞)",⚪ เทียบไม่ได้,,✅ คำตอบ: H: $(y - 2)^2 - \dfrac{(x + 1)^2}{5} = 1$
chap-05-function-q135,chap-05-function,fill,2625,⚪ เทียบไม่ได้,,"✅ คำตอบ: 2,625 หน้า (พิมพ์ตั้งแต่ 2,625 หน้าขึ้นไปจึงคุ้ม)"
chap-05-function-q159,chap-05-function,fill,"$R_{r_1} = [-2, 2]$, $R_{r_2} = [-1, \infty)$, $D_{r^{-1}} = [-1, 2]$",⚪ เทียบไม่ได้,,"✅ คำตอบ: $R_{r_1} = [-2, 2]$, $R_{r_2} = [-1, \infty)$"
chap-05-function-q16,chap-05-function,mc,3,⚪ เทียบไม่ได้,,"✅ คำตอบ: $D_f = \{ x \ne \pm 1 \}$, $R_f = \{ x \le -2$"
chap-05-function-q201,chap-05-function,fill,"0, 2, -2",⚪ เทียบไม่ได้,,"✅ คำตอบ: $f(0) = 0$, $f(1) = 2$, $f(-1) = -2$"
chap-06-matrix-q115,chap-06-matrix,fill,"(0, sqrt(2)/2, sqrt(2)/2)",⚪ เทียบไม่ได้,,✅ คำตอบ: $\begin{bmatrix} x \\ y \\ z \end{bmatrix} = \pm\begin{bmatrix} 0 \\ \sqrt{2}/2 \\ \sqrt{2}/2 \end{bmatrix}$
chap-06-matrix-q122,chap-06-matrix,fill,"[[-1,-4,4],[-1,-5/2,3],[1,3,-3]]",⚪ เทียบไม่ได้,,✅ คำตอบ: $A^{-1} = \begin{bmatrix} -1 & -4 & 4 \\ -1 & -5/2 & 3 \\ 1 & 3 & -3 \end{bmatrix}$
chap-06-matrix-q128,chap-06-matrix,fill,"[[2/3,-1],[1/3,1/3]]",⚪ เทียบไม่ได้,,✅ คำตอบ: $B = \begin{bmatrix} 2/3 & -1 \\ 1/3 & 1/3 \end{bmatrix}$
chap-06-matrix-q133,chap-06-matrix,fill,"x=2, y=3, z=1, det(adj C)=3364",⚪ เทียบไม่ได้,,✅ คำตอบ:
chap-06-matrix-q134,chap-06-matrix,fill,"A=[[1,1,1],[-1,2,-1],[0,3,-1]], X=[0,1,0]",⚪ เทียบไม่ได้,,✅ คำตอบ: $A = \begin{bmatrix} 1 & 1 & 1 \\ -1 & 2 & -1 \\ 0 & 3 & -1 \end{bmatrix}$
chap-06-matrix-q149,chap-06-matrix,fill,คำตอบเดียว: k≠2 และ k≠-2; ไม่มีคำตอบ: k=2 หรือ k=-2; ไม่มีกรณีหลายคำตอบ,⚪ เทียบไม่ได้,,✅ คำตอบ: คำตอบเดียวเมื่อ $k \ne 2$
chap-06-matrix-q151,chap-06-matrix,fill,e^(-5525),⚪ เทียบไม่ได้,,✅ คำตอบ: $\det(C) = e^{-5525}$
chap-06-matrix-q79,chap-06-matrix,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ: $9 \le x 
chap-07-trigonometry-q130,chap-07-trigonometry,fill,"a = -0.3, b ≈ 0.95",⚪ เทียบไม่ได้,,✅ คำตอบ: $a = -0.3$
chap-07-trigonometry-q157,chap-07-trigonometry,fill,"$c = 2\sqrt{2},\ \alpha = \dfrac{5\pi}{4}$",⚪ เทียบไม่ได้,,✅ คำตอบ: $c = 2\sqrt{2}$
chap-07-trigonometry-q161,chap-07-trigonometry,fill,"$\tan\dfrac{\theta}{2} = \dfrac{1}{2},\ \sin\dfrac{\theta}{2} = \dfrac{1}{\sqrt{5}}$ หรือ $\tan\dfrac{\theta}{2} = -2,\ \sin\dfrac{\theta}{2} = \dfrac{2}{\sqrt{5}}$",⚪ เทียบไม่ได้,,"✅ คำตอบ: $\tan\dfrac{\theta}{2} = \dfrac{1}{2}, \sin\dfrac{\theta}{2} = \dfrac{1}{\sqrt{5}}$"
chap-07-trigonometry-q181,chap-07-trigonometry,fill,"$x = -1,\ y = \dfrac{(2n + 1)\pi}{4} + 1$ เมื่อ $n$ เป็นจำนวนเต็มใด ๆ",⚪ เทียบไม่ได้,,✅ คำตอบ: $x = -1$
chap-07-trigonometry-q197,chap-07-trigonometry,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ: $A = \{0\}$
chap-07-trigonometry-q214,chap-07-trigonometry,fill,$\dfrac{3\sqrt{3}}{2}r^2$ ตารางหน่วย,⚪ เทียบไม่ได้,,✅ คำตอบ: $\dfrac{3\sqrt{3}}{2}r^2 \approx 2.6r^2$ ตารางหน่วย
chap-07-trigonometry-q227,chap-07-trigonometry,fill,"พื้นที่ $= 3 + \sqrt{3}$ ตารางหน่วย, $BD = \sqrt{6}$, $AC = \sqrt{10 + 4\sqrt{3}}$",⚪ เทียบไม่ได้,,✅ คำตอบ: พื้นที่ $= 3 + \sqrt{3} \approx 4.73$ ตารางหน่วย
chap-08-explog-q129,chap-08-explog,fill,"[−1, 1]",⚪ เทียบไม่ได้,,"✅ คำตอบ: $[-1, 1]$"
chap-08-explog-q135,chap-08-explog,fill,"{−√2, √2, 1/2, 1/a}",⚪ เทียบไม่ได้,,"✅ คำตอบ: $A \cup B = \left\{ -\sqrt{2}, \sqrt{2}, \dfrac{1}{2}, \dfrac{1}{a} \right\}$"
chap-08-explog-q138,chap-08-explog,fill,15a^((3p+q)/5)/(2p−q),⚪ เทียบไม่ได้,,"✅ คำตอบ: $\dfrac{15\,a^{(3p+q)/5}}{2p - q}$"
chap-08-explog-q141,chap-08-explog,fill,1/x²,⚪ เทียบไม่ได้,,✅ คำตอบ: $\dfrac{1}{x^2}$
chap-08-explog-q154,chap-08-explog,fill,−3,⚪ เทียบไม่ได้,,✅ คำตอบ: $-3$
chap-08-explog-q161,chap-08-explog,fill,−2,⚪ เทียบไม่ได้,,✅ คำตอบ: $-2$
chap-08-explog-q171,chap-08-explog,fill,c^((1+√33)/4) หรือ c^((1−√33)/4),⚪ เทียบไม่ได้,,✅ คำตอบ: $x = c^{(1+\sqrt{33})/4}$
chap-08-explog-q181,chap-08-explog,fill,1000000,⚪ เทียบไม่ได้,,"✅ คำตอบ: $1{,}000{,}000$"
chap-08-explog-q185,chap-08-explog,fill,−8 และ 2,⚪ เทียบไม่ได้,,✅ คำตอบ: $x = -8$
chap-08-explog-q187,chap-08-explog,fill,"(6/7, 18/5) − {2}",⚪ เทียบไม่ได้,,"✅ คำตอบ: $\left(\dfrac{6}{7}, \dfrac{18}{5}\right) - \{2\}$"
chap-08-explog-q197,chap-08-explog,fill,"a = (4/5)^6, b = (4/5)^5",⚪ เทียบไม่ได้,,"✅ คำตอบ: $a = \left(\dfrac{4}{5}\right)^6$ , $b = \left(\dfrac{4}{5}\right)^5$"
chap-08-explog-q201,chap-08-explog,fill,−1,⚪ เทียบไม่ได้,,✅ คำตอบ: $-1$
chap-08-explog-q203,chap-08-explog,fill,"(−1, 4) และ (−1, 4/3)",⚪ เทียบไม่ได้,,"✅ คำตอบ: $(x, y) = (-1, 4)$"
chap-08-explog-q206,chap-08-explog,fill,"(1, 1) และ (3^(−1/3), 3^(2/3))",⚪ เทียบไม่ได้,,"✅ คำตอบ: $(a, b) = (1, 1)$"
chap-08-explog-q208,chap-08-explog,fill,"(−∞, −1) ∪ [1/2, 1)",⚪ เทียบไม่ได้,,"✅ คำตอบ: $D_{f+g} = (-\infty, -1) \cup \left[\dfrac{1}{2}, 1\right)$"
chap-09-vector-q112,chap-09-vector,fill,a = (−8 + 5√3)/11,⚪ เทียบไม่ได้,,✅ คำตอบ: $a = \dfrac{-8 + 5\sqrt{3}}{11}$
chap-09-vector-q116,chap-09-vector,fill,"(a,b) = (5, 0) หรือ (−5/2, 5√3/2)",⚪ เทียบไม่ได้,,"✅ คำตอบ: $(a, b) = (5, 0)$"
chap-09-vector-q125,chap-09-vector,fill,−2√6/9,⚪ เทียบไม่ได้,,✅ คำตอบ: $-\dfrac{2\sqrt{6}}{9}$
chap-09-vector-q49,chap-09-vector,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ: $0° 
chap-09-vector-q84,chap-09-vector,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ:
chap-09-vector-q86,chap-09-vector,fill,ū = −3v̄ : ขนานกัน ทิศตรงกันข้าม และ |ū| = 3|v̄|,⚪ เทียบไม่ได้,,✅ คำตอบ: $\overline{u} = -3\overline{v}$ — ทั้งสองขนานกันโดยมีทิศตรงกันข้าม และ $|\overline{u}| = 3|\overline{v}|$
chap-09-vector-q91,chap-09-vector,fill,(4/5)ī − (3/5)j̄,⚪ เทียบไม่ได้,,✅ คำตอบ: $\dfrac{4}{5}\overline{i} - \dfrac{3}{5}\overline{j}$
chap-09-vector-q92,chap-09-vector,fill,±((4/5)ī + (3/5)j̄),⚪ เทียบไม่ได้,,✅ คำตอบ: $\pm\left(\dfrac{4}{5}\overline{i} + \dfrac{3}{5}\overline{j}\right)$
chap-09-vector-q94,chap-09-vector,fill,(3/√2)ī + (3/√2)j̄,⚪ เทียบไม่ได้,,✅ คำตอบ: $\dfrac{3}{\sqrt{2}}\overline{i} + \dfrac{3}{\sqrt{2}}\overline{j}$
chap-09-vector-q95,chap-09-vector,fill,±((8√10/5)ī − (6√10/5)j̄),⚪ เทียบไม่ได้,,✅ คำตอบ: $\overrightarrow{PQ} = \pm\left(\dfrac{8\sqrt{10}}{5}\overline{i} - \dfrac{6\sqrt{10}}{5}\overline{j}\right)$
