id,ชุด,ชนิด,มีตาราง,มีรูป,correct,หัวโจทย์ 110 ตัวอักษร
alvl1-2566-03-q02,alvl1-2566-03,mc,,มี,3,ให้ $A = \{ x \in \mathbb{Z} \mid |2x+3| < 2|x-5| \}$ และ $B = \{ x \in \mathbb{R} \mid 0 < x < 5 \}$  พิจารณา
alvl1-2566-03-q06,alvl1-2566-03,mc,,มี,1,รูปสี่เหลี่ยม ABCD มีมุม A ขนาด $60$ องศา ด้านประกอบมุม A ยาวเท่ากัน มุม C เป็นมุมที่อยู่ตรงข้ามมุม A มีขนาด $
alvl1-2566-03-q07,alvl1-2566-03,mc,,มี,0,$\tan\left(\arccos\left(\dfrac{5}{13}\right) + \arcsin\left(\dfrac{3}{5}\right)\right)$ เท่ากับเท่าใด
alvl1-2566-03-q11,alvl1-2566-03,mc,,มี,2,กำหนดแบบรูปของแผนภาพบันไดไม้ขีดไฟดังนี้  รูปที่ $1$ (บันไดไม้ขีดไฟ $1$ ขั้น) ใช้ไม้ขีด $4$ ก้าน  รูปที่ $2$ (บ
alvl1-2566-03-q14,alvl1-2566-03,mc,,มี,4,ให้ $A$ แทนเซตของจำนวนเชิงซ้อน $z$ ทั้งหมดในระนาบเชิงซ้อน ซึ่งสอดคล้องกับอสมการ $|z - i|^2 + |z + i|^2 < 4$  พ
alvl1-2566-03-q16,alvl1-2566-03,mc,,มี,2,"กำหนดทรงสี่เหลี่ยมมุมฉาก ABCDEFGH ในระบบพิกัดฉากสามมิติ ที่มีจุด $B(1, 1, 0)$ จุด $C(1, 2, 0)$ และจุด $F(0, 1,"
alvl1-2566-03-q17,alvl1-2566-03,mc,,มี,1,"ให้จุด $(a, b)$ เป็นจุดบนวงรี $\dfrac{x^2}{2} + \dfrac{y^2}{3} = 1$ ถ้าระยะห่างระหว่างจุด $(a, b)$ กับจุด $\le"
alvl1-2566-03-q21,alvl1-2566-03,mc,,มี,1,ศูนย์ดูแลผู้ป่วยติดเตียงแห่งหนึ่งมีจำนวนผู้ป่วยเข้ามาใช้บริการศูนย์แห่งนี้ทั้งหมด $120$ คน โดยจำนวนผู้ป่วยเพศช
alvl1-2566-03-q23,alvl1-2566-03,mc,,มี,0,"กำหนดกราฟของฟังก์ชัน $f$ เป็นพาราโบลาที่จุดยอดอยู่ที่จุด $(2, 4)$ และตัดแกน X ที่จุด $(0, 0)$ และ $(4, 0)$ และ"
alvl1-2566-03-q24,alvl1-2566-03,mc,,มี,4,กำหนดกราฟของฟังก์ชัน $f$ และ $g$ ดังรูป  พิจารณาข้อความต่อไปนี้  (ก) $\displaystyle\lim_{x \to 1}(f(x) \cdot g
